"filename", "language", "JSON", "TypeScript JSX", "JavaScript", "TypeScript", "JSON with Comments", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\.eslintrc.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\.prettierrc", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\app.d.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 1, 0, 8
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\app\(errors)\error\page.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\app\(errors)\no-duplicate-tabs\page.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\app\(protected)\example-sign-out\page.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 4, 4, 33
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\app\(protected)\game\[username]\page.tsx", "TypeScript JSX", 0, 1061, 0, 0, 0, 0, 0, 129, 137, 1327
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\app\(protected)\home\[username]\page.tsx", "TypeScript JSX", 0, 449, 0, 0, 0, 0, 0, 80, 60, 589
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\app\(protected)\layout.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 7, 7, 42
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\app\TitlePageLogin.tsx", "TypeScript JSX", 0, 228, 0, 0, 0, 0, 0, 12, 9, 249
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\app\TitlePageOnboarding.tsx", "TypeScript JSX", 0, 245, 0, 0, 0, 0, 0, 23, 21, 289
