Date : 2024-01-31 10:09:48
Directory : /Users/kennethchap/Documents/GitHub/fish
Total : 142 files,  12987 codes, 783 comments, 1260 blanks, all 15030 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |      5,885 |          0 |          4 |      5,889 |
| TypeScript JSX     |         30 |      4,080 |        404 |        444 |      4,928 |
| TypeScript         |        101 |      2,926 |        376 |        793 |      4,095 |
| Markdown           |          1 |         44 |          0 |         11 |         55 |
| JSON with Comments |          1 |         29 |          0 |          1 |         30 |
| JavaScript         |          2 |         14 |          2 |          4 |         20 |
| CSS                |          1 |          9 |          1 |          3 |         13 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        142 |     12,987 |        783 |      1,260 |     15,030 |
| . (Files)                                                                                                           |         12 |      6,005 |          3 |         30 |      6,038 |
| app                                                                                                                 |         43 |      2,984 |        345 |        533 |      3,862 |
| app (Files)                                                                                                         |          6 |        587 |         42 |         45 |        674 |
| app/(errors)                                                                                                        |          2 |         56 |          0 |          7 |         63 |
| app/(errors)/error                                                                                                  |          1 |         50 |          0 |          5 |         55 |
| app/(errors)/no-duplicate-tabs                                                                                      |          1 |          6 |          0 |          2 |          8 |
| app/(protected)                                                                                                     |          3 |      1,621 |        250 |        210 |      2,081 |
| app/(protected) (Files)                                                                                             |          1 |         28 |          7 |          7 |         42 |
| app/(protected)/game                                                                                                |          1 |      1,068 |        162 |        144 |      1,374 |
| app/(protected)/game/[username]                                                                                     |          1 |      1,068 |        162 |        144 |      1,374 |
| app/(protected)/home                                                                                                |          1 |        525 |         81 |         59 |        665 |
| app/(protected)/home/[username]                                                                                     |          1 |        525 |         81 |         59 |        665 |
| app/api                                                                                                             |         32 |        720 |         53 |        271 |      1,044 |
| app/api/auth                                                                                                        |          3 |         95 |         10 |         24 |        129 |
| app/api/auth/login                                                                                                  |          2 |         77 |          7 |         16 |        100 |
| app/api/auth/login/google                                                                                           |          2 |         77 |          7 |         16 |        100 |
| app/api/auth/login/google (Files)                                                                                   |          1 |         18 |          3 |          4 |         25 |
